TSS_ID	A549	Bj	H1hesc	Hepg2	Hsmm	K562	Nhek	Sknshra	Ag04450	Gm12878	Helas3	Hmec	Huvec	Mcf7	Nhlf
ENST00000405436	5.9128	12.12525	29.8085	53.41585	NaN	30.8299	58.7815	21.51055	17.35215	47.35605	27.6843	NaN	59.2398	10.921065	NaN
ENST00000440644	6.264835	14.8431	5.408005	5.35178	NaN	10.43515	7.024185	12.988	9.86709	3.46488	5.293255	NaN	9.514375	12.304295	NaN
ENST00000381964	1.1737	1.9952	1.80406	1.58119	NaN	1.913305	1.22599	2.8221	2.047	0.577346	0.503319	NaN	1.8831	2.344975	NaN
ENST00000402202	6.469075	8.24025	26.53605	4.13845	NaN	6.956565	5.289055	27.3835	7.51983	1.343055	0.7127415	NaN	7.570845	2.097245	NaN
ENST00000381947	6.62902	7.995385	27.0925	3.72096	NaN	7.19091	5.3715	28.09895	7.630795	1.365615	0.7072665	NaN	7.425655	2.082125	NaN
ENST00000361093	383.4335	203.3635	321.8545	47.14685	NaN	597.626	192.8215	244.734	160.593	212.103	356.695	NaN	121.8405	99.0053	NaN
ENST00000381815	363.919	199.263	276.0955	45.1995	NaN	520.8635	173.42	235.351	155.9845	188.412	311.96	NaN	111.9535	89.3043	NaN
ENST00000426819	8.98581	7.78416	10.34703	2.1809	NaN	14.3684	6.07168	9.88358	6.792835	23.7621	10.672375	NaN	3.41239	14.359695	NaN
ENST00000438059	11.023125	9.608515	13.266	2.667735	NaN	19.1746	7.07948	11.29802	8.704015	27.62465	16.63085	NaN	4.84236	16.175425	NaN
ENST00000381831	10.710725	9.670945	13.32565	2.51203	NaN	19.7958	6.683185	11.11712	8.520865	27.4493	16.017825	NaN	4.623615	14.41207	NaN
ENST00000381839	10.860865	9.76889	14.65755	2.613	NaN	21.3578	6.762645	11.5516	9.085015	27.9459	17.1418	NaN	4.792695	13.631575	NaN
ENST00000290239	503.493	496.8635	586.2315	148.0355	NaN	601.8535	244.441	663.747	484.879	314.2	341.3805	NaN	341.858	462.882	NaN
ENST00000381679	503.963	497.3975	586.5175	148.8335	NaN	602.0465	244.5205	664.3765	485.2275	314.343	341.5625	NaN	342.1495	463.3905	NaN
ENST00000492229	503.749	497.3975	586.488	148.807	NaN	601.9895	244.5205	664.286	485.1085	314.312	341.507	NaN	342.125	463.4265	NaN
ENST00000437395	3.506205	2.776905	13.77745	8.25378	NaN	13.283565	2.06192	9.402455	2.587885	7.92734	23.1202	NaN	10.13703	11.83425	NaN
ENST00000432378	6.771315	4.467795	20.73145	11.35772	NaN	31.31235	5.249465	13.67195	5.81986	15.73915	37.2231	NaN	14.9215	17.0942	NaN
ENST00000303071	6.308735	4.158625	19.6072	8.962955	NaN	30.6378	4.93263	12.7057	5.4311	15.1349	35.20865	NaN	14.12765	14.5294	NaN
ENST00000399442	64.46685	115.9675	31.1624	23.808	NaN	49.5106	30.24455	132.7965	90.01465	35.0465	60.29305	NaN	50.0628	42.1796	NaN
ENST00000413017	64.46685	115.9675	31.1624	23.808	NaN	49.5106	30.24455	132.7965	90.01465	35.0465	60.29305	NaN	50.0628	42.1796	NaN
ENST00000417979	64.46685	116.0655	31.1357	23.808	NaN	49.5106	30.24455	132.7965	90.05415	35.0465	60.29305	NaN	50.0628	42.1796	NaN
ENST00000426935	64.46685	116.1565	31.1357	23.78145	NaN	49.5106	30.2717	132.842	90.04645	35.109	60.23165	NaN	50.0628	42.1796	NaN
ENST00000381540	64.46685	116.1565	31.1357	23.78145	NaN	49.5106	30.2717	132.842	90.08595	35.109	60.23165	NaN	50.0628	42.1796	NaN
ENST00000361534	64.33395	115.285	30.8323	23.7566	NaN	49.44725	29.81115	132.063	89.76945	35.0508	59.92135	NaN	49.96665	42.03075	NaN
ENST00000381554	64.26265	115.06	30.71915	23.7318	NaN	49.41235	29.75685	131.9205	89.595	35.01955	59.92135	NaN	49.94215	42.00515	NaN
ENST00000399353	0.70132	1.981745	1.987095	0.364451	NaN	0.170982	0.9353095	1.070453	2.421045	0.2864975	1.219385	NaN	1.281605	0.5967225	NaN
ENST00000444491	7.35739	34.7106	39.5233	3.317085	NaN	3.14538	7.84964	13.37585	27.62755	0.693685	25.95045	NaN	19.8936	6.490675	NaN
ENST00000470742	7.40169	35.0198	40.0324	3.343605	NaN	3.173875	7.903945	13.661	27.88125	0.7249455	26.14345	NaN	20.0149	6.526775	NaN
ENST00000381318	7.57888	35.79365	40.7565	3.343605	NaN	3.237235	8.11716	14.09545	28.6192	0.7562055	26.66655	NaN	20.3757	6.696565	NaN
ENST00000381285	7.55183	36.3054	41.3016	3.240935	NaN	3.22148	8.143315	14.1791	28.89695	0.648568	27.0504	NaN	20.8326	6.588415	NaN
ENST00000399367	8.191605	38.6386	41.81995	3.214415	NaN	3.30697	8.543595	14.47785	30.16645	0.612957	27.86395	NaN	21.392	6.711695	NaN
ENST00000399352	8.600085	41.3856	42.04625	3.186195	NaN	3.348205	8.831285	14.99595	32.1327	0.617308	28.7083	NaN	21.5869	7.01994	NaN
ENST00000399349	8.67143	41.51235	42.0226	3.186195	NaN	3.348205	8.831285	15.0412	32.3073	0.617308	28.6776	NaN	21.63405	6.994355	NaN
ENST00000451686	11.33875	42.61255	24.65175	1.925925	NaN	2.98713	7.68176	14.91095	33.4776	1.194655	16.8905	NaN	15.07765	6.356935	NaN
ENST00000429238	0.3198865	0.1401909	0.4556375	3.23923	NaN	1.2511775	0.37014	0.187776	0.3328795	0.5460855	0.7051155	NaN	0.4858815	1.9610935	NaN
ENST00000484627	163.2945	175.1405	1328.03	288.869	NaN	1339.81	439.808	299.5215	214.8295	663.722	496.4585	NaN	424.1255	210.9945	NaN
ENST00000487374	512.6175	642.405	2308.54	458.837	NaN	4321.315	1202.45	722.4415	835.058	1777.34	1327.625	NaN	1039.16	567.201	NaN
ENST00000488492	2.054565	2.974665	0.3569135	0.0761523	NaN	1.69774	3.7415	1.400775	2.7919	1.513215	2.80521	NaN	3.265935	2.454325	NaN
ENST00000399312	5.843805	4.80874	18.11685	5.094105	NaN	34.19815	15.53715	8.46084	9.35371	19.45605	7.45025	NaN	11.68199	8.530755	NaN
ENST00000477091	11.9044	15.77805	59.5012	17.66175	NaN	62.3573	29.4779	19.06945	27.79375	62.72135	34.41595	NaN	27.9073	26.5147	NaN
ENST00000381151	10.7922	15.94515	57.54085	17.4248	NaN	58.65405	28.11615	17.69335	26.3008	61.92085	35.00585	NaN	27.4491	26.7206	NaN
ENST00000362077	9.074815	14.99255	54.0561	16.0037	NaN	50.60525	24.6382	14.7698	24.07755	56.73265	33.85765	NaN	24.9708	25.32475	NaN
ENST00000481710	83.1842	50.35365	75.8436	41.874	NaN	234.2685	68.4671	77.2261	58.66615	66.0108	167.898	NaN	56.00205	75.8155	NaN
ENST00000399299	87.3106	53.5175	83.35195	43.6109	NaN	246.9275	74.00575	81.9177	62.30535	68.15005	173.475	NaN	60.81225	78.7223	NaN
ENST00000495363	31.1909	20.29365	38.35525	9.7384	NaN	93.1435	31.60735	30.8334	23.07015	18.84065	57.8093	NaN	27.73075	18.4901	NaN
ENST00000399295	0.578226	0.4426305	2.04167	0.1557075	NaN	0.5417725	0.562183	0.420783	0.2537365	0.03126025	2.36192	NaN	0.1206793	0.9642765	NaN
ENST00000450895	0	0.469546	0	0	NaN	0	0.0271501	0.0520825	1.38124	0	2.7915225	NaN	0	0	NaN
ENST00000481448	24.05145	527.5435	0.0596515	10.57845	NaN	0.02849695	13.128215	18.8898	218.524	0.03126025	3.564685	NaN	13.24315	0.53042455	NaN
ENST00000381132	3.102815	13.339455	0.2026165	3.22562	NaN	0.03486635	1.0488945	4.33801	6.346605	0.2908485	0.88599	NaN	0.461366	0.231477	NaN
ENST00000420877	0.142694	0.4493595	0.0863951	2.36653	NaN	0.02849695	0.08045395	0.09731365	0.778314	0	0	NaN	0.02451565	0.2663656	NaN
ENST00000419921	0.2928375	0.14692	1.071735	11.9499	NaN	0.02849695	0.2635315	0.3687005	2.269715	0	0.0559243	NaN	0.145195	0.4199026	NaN
ENST00000358356	1.306595	8.26265	0	4.6528	NaN	7.913715	16.8543	2.04086	5.80891	0.08507925	4.793065	NaN	3.021585	16.861285	NaN
ENST00000325074	0.23129	0.8344155	0	0.621128	NaN	1.4600435	1.7672565	0.1356935	0.5555975	0	0.777465	NaN	0.3601385	2.040205	NaN
ENST00000416754	0	2.52344	0	0	NaN	7.140245	0.562183	1.737945	0.896232	0.769259	0	NaN	0.0490313	0.02558955	NaN
ENST00000482318	0	3.295425	0	0	NaN	9.498105	0.562183	2.69738	1.28499	0.737998	0	NaN	0.0490313	0.02558955	NaN
ENST00000399245	0	3.19748	0	0	NaN	9.79915	0.562183	3.38543	1.35638	0.706738	0	NaN	0.0490313	0.02558955	NaN
ENST00000300305	0	1.837815	0	0	NaN	7.000795	0.403267	4.351715	1.3478225	0.1476	0.0306997	NaN	0.0490313	0.02558955	NaN
ENST00000475045	0	0	0	2.1809	NaN	0	0	0	0	0	0	NaN	0	0	NaN
ENST00000460207	0	0	0	2.23224	NaN	0	0	0	0	0	0	NaN	0	0	NaN
ENST00000399215	1.0310045	0.1757063	1.934695	0.024817	NaN	0.323186	0.615487	2.29715	0.3646965	0.635515	1.827905	NaN	0.3136395	0.75026	NaN
ENST00000442559	8.447195	4.40051	5.2538	1.37755	NaN	3.465875	3.93852	8.48413	2.934675	5.010155	12.436925	NaN	3.022045	6.473125	NaN
ENST00000399205	8.722785	4.358265	5.110835	1.37755	NaN	3.47224	3.913365	8.432045	2.934675	5.041415	12.4117	NaN	3.07044	6.49871	NaN
ENST00000424303	8.08301	5.123515	4.09258	1.379245	NaN	3.275785	3.9587	6.53785	2.81596	4.65244	11.16278	NaN	3.59966	6.595255	NaN
ENST00000399208	8.08301	5.123515	4.09258	1.379245	NaN	3.275785	3.9587	6.53785	2.81596	4.65244	11.10138	NaN	3.59966	6.544075	NaN
ENST00000481477	1.86757	1.76192	0.9966745	0.2053415	NaN	0.5481425	1.66961	0.5838825	0.761209	1.334355	2.21507	NaN	1.52106	1.88202	NaN
